Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,56.779999,57.740002,55.410000,56.070000,54.168434,1293610
2020-05-11,56.529999,56.680000,53.410000,54.500000,52.651676,2054691
2020-05-12,54.299999,54.369999,51.220001,51.220001,49.482918,3642869
2020-05-13,51.000000,51.520000,49.119999,49.599998,47.917854,3583071
2020-05-14,49.049999,50.230000,48.209999,49.880001,48.188362,3419641
2020-05-15,50.119999,50.900002,48.605000,49.310001,47.637691,2592698
2020-05-18,50.020000,55.340000,49.810001,55.340000,53.463192,3792875
2020-05-19,56.340000,57.189999,52.980000,54.230000,52.390835,4179278
2020-05-20,53.840000,55.080002,51.509998,55.049999,53.183022,2979573
2020-05-21,54.299999,55.900002,53.290001,54.650002,52.796589,2440212
2020-05-22,54.000000,55.279999,52.919998,54.040001,52.207279,3006906
2020-05-25,54.970001,58.880001,54.509998,58.639999,56.651272,3477619
2020-05-26,59.270000,63.279999,59.099998,62.810001,60.679848,5591691
2020-05-27,63.490002,64.269997,60.720001,61.130001,59.056828,4407751
2020-05-28,62.070000,62.750000,59.810001,60.119999,58.081078,4058210
2020-05-29,59.380001,59.380001,56.700001,56.700001,54.777065,3864580
2020-06-01,59.180000,59.689999,57.660000,59.439999,57.424141,2304131
2020-06-02,60.020000,63.880001,59.590000,63.700001,61.539669,3938126
2020-06-03,65.410004,68.529999,64.599998,68.410004,66.089935,5333349
2020-06-04,68.410004,73.709999,65.889999,71.980003,69.538864,6944413
2020-06-05,75.300003,80.980003,74.860001,80.980003,78.233635,9357529
2020-06-08,80.500000,84.949997,78.599998,81.910004,79.132095,6926062
2020-06-09,82.500000,85.080002,74.650002,75.669998,73.103714,7255504
2020-06-10,77.349998,80.000000,73.669998,74.959999,72.417793,4459277
2020-06-11,71.349998,73.739998,67.059998,67.059998,64.785706,6610324
2020-06-12,65.989998,71.839996,65.199997,66.949997,64.679443,5584757
2020-06-15,64.750000,68.430000,63.450001,68.000000,65.693832,3675595
2020-06-16,71.139999,72.120003,68.379997,69.830002,67.461769,5092018
2020-06-17,70.000000,70.820000,68.300003,69.750000,67.384483,3408687
2020-06-18,68.360001,69.139999,66.000000,67.820000,65.519936,3997334
2020-06-19,68.800003,69.839996,66.949997,68.860001,66.524673,5582655
2020-06-22,67.879997,68.699997,65.760002,67.260002,64.978935,2118878
2020-06-23,68.099998,69.290001,66.000000,66.760002,64.495888,3046980
2020-06-24,66.699997,67.410004,62.970001,62.970001,60.834427,3412357
2020-06-25,62.520000,64.620003,61.270000,63.919998,61.752201,3561513
2020-06-26,64.370003,65.489998,61.860001,61.880001,59.781391,3309535
2020-06-29,60.889999,64.419998,60.180000,63.349998,61.201534,3287317
2020-06-30,64.660004,65.919998,62.779999,63.520000,61.365772,2988582
2020-07-01,63.599998,65.639999,60.849998,64.190002,62.013050,2876580
2020-07-02,65.139999,67.790001,64.239998,66.410004,64.157753,2989535
2020-07-03,66.980003,67.660004,64.599998,65.629997,63.404213,1574888
2020-07-06,67.419998,68.459999,66.940002,67.720001,65.423325,2437574
2020-07-07,67.550003,68.099998,66.620003,67.300003,65.017578,1608022
2020-07-08,66.309998,66.900002,64.800003,65.830002,63.597427,1977311
2020-07-09,66.500000,66.720001,63.220001,63.220001,61.075943,2470846
2020-07-10,62.220001,65.809998,62.020000,65.449997,63.230312,2412795
2020-07-13,66.529999,67.980003,66.400002,67.849998,65.548920,2148001
2020-07-14,66.500000,66.849998,64.709999,66.160004,63.916245,2402161
2020-07-15,67.300003,70.739998,66.889999,69.220001,66.872459,5094971
2020-07-16,68.529999,69.360001,66.760002,67.000000,64.727745,2035858
2020-07-17,66.900002,67.080002,65.190002,65.900002,63.665051,2228828
2020-07-20,66.000000,67.089996,64.839996,65.709999,63.481495,1512486
2020-07-21,66.989998,69.500000,66.860001,68.050003,65.742142,2197989
2020-07-22,67.699997,68.040001,65.300003,67.110001,64.834023,1890217
2020-07-23,67.419998,67.449997,65.019997,65.279999,63.066078,1945594
2020-07-24,64.639999,64.779999,62.980000,63.930000,61.761868,2093318
2020-07-27,63.580002,63.610001,61.750000,61.919998,59.820030,2302830
2020-07-28,61.880001,64.059998,61.759998,63.849998,61.684578,1918092
2020-07-29,63.459999,64.980003,62.180000,62.180000,60.071217,1945867
2020-07-30,63.500000,66.110001,62.160000,63.340000,61.191879,3218359
2020-07-31,63.080002,63.980000,61.810001,62.009998,59.906979,2660929
2020-08-03,62.330002,63.880001,60.779999,63.730000,61.568645,2563330
2020-08-04,64.470001,66.349998,64.230003,65.680000,63.452515,2316976
2020-08-05,65.930000,68.449997,65.910004,67.970001,65.664856,1931247
2020-08-06,68.080002,69.599998,67.599998,68.330002,66.012642,2431328
2020-08-07,68.250000,69.400002,67.250000,69.300003,66.949745,1518079
2020-08-10,69.680000,72.059998,69.349998,72.059998,69.616142,2375364
2020-08-11,73.000000,76.180000,73.000000,76.180000,73.596420,3123354
2020-08-12,75.769997,75.949997,74.180000,74.919998,72.379143,1907292
2020-08-13,73.400002,74.790001,72.199997,73.300003,70.814087,1755844
2020-08-14,72.769997,72.769997,70.760002,72.110001,69.664452,1475525
